sample_id,temperatuur_C,druk_bar,debiet_Lh,pH,conductiviteit_mScm,viscositeit_mPas,turbiditeit_NTU,opgeloste_O2_mgL,kwaliteitsscore,is_anomalie,regime,is_gelabeld,model_voorspelling,model_onzekerheid,informativiteit
AL-03921,241.0,2.37,53.3,7.6,0.89,359.0,4.7,1.5,74.4,0,3,0,69.9,8.75,8.85
AL-03922,193.4,15.1,54.9,8.3,2.43,836.3,74.5,2.1,66.0,0,2,0,65.0,8.15,9.62
AL-03923,164.9,11.73,65.2,7.0,8.29,790.8,89.2,4.6,66.7,0,2,0,71.0,4.25,4.96
AL-03924,228.5,8.07,62.8,5.4,9.65,650.1,99.1,11.7,63.1,0,2,0,55.4,11.92,14.75
AL-03925,272.3,11.07,33.1,6.6,2.51,703.4,16.4,14.2,92.0,0,0,0,91.5,8.77,11.74
AL-03926,230.5,8.15,72.5,7.3,8.64,773.3,91.0,0.2,62.1,0,2,0,65.4,10.56,13.29
AL-03927,174.1,9.46,84.3,5.8,4.19,60.9,73.0,4.3,78.9,0,3,0,83.3,3.68,3.97
AL-03928,104.7,8.28,90.1,9.3,3.63,648.5,19.6,12.4,84.0,0,1,0,86.4,7.8,9.21
AL-03929,156.9,4.44,58.6,5.1,8.16,272.6,81.2,2.6,81.1,0,3,0,83.1,5.79,6.49
AL-03930,169.7,3.48,76.8,4.6,8.24,583.8,95.9,6.3,63.9,0,2,0,62.6,8.21,10.04
AL-03931,259.0,2.91,97.7,8.1,5.7,638.7,43.0,12.9,45.3,1,2,0,49.9,16.5,26.32
AL-03932,237.3,4.1,98.6,7.3,6.7,840.3,63.6,3.5,64.9,0,2,0,63.6,7.92,9.52
AL-03933,159.7,7.48,33.6,7.3,1.76,799.9,67.0,3.7,55.1,0,2,0,53.2,4.8,6.71
AL-03934,234.3,18.3,84.8,6.4,8.73,105.4,84.6,7.5,88.4,0,0,0,84.3,8.46,10.73
AL-03935,275.7,7.33,34.0,7.5,9.63,713.0,85.1,11.5,62.8,0,2,0,65.3,10.41,12.94
AL-03936,280.2,9.23,61.0,9.3,1.85,947.0,93.9,3.9,63.6,0,2,0,69.8,10.22,12.55
AL-03937,232.7,10.97,23.6,9.3,6.82,250.1,46.0,14.7,88.3,0,0,0,92.1,6.28,7.95
AL-03938,296.7,4.6,48.5,6.9,8.29,511.2,74.1,13.4,59.5,0,2,0,58.1,11.03,14.45
AL-03939,204.2,16.92,31.7,8.0,0.18,703.8,75.5,1.3,89.7,0,0,0,90.1,7.89,10.2
AL-03940,238.0,6.78,99.7,5.6,4.8,878.6,73.5,4.2,65.1,0,2,0,60.8,7.76,9.3
AL-03941,172.3,2.06,11.7,7.2,0.13,867.6,59.0,12.0,74.1,0,2,0,80.4,5.83,5.94
AL-03942,201.6,4.38,30.4,6.7,4.55,185.7,58.4,4.3,86.3,0,3,0,86.7,8.61,10.56
AL-03943,264.9,19.18,74.1,9.6,1.13,704.8,71.4,14.6,96.4,0,0,0,93.9,11.34,16.2
AL-03944,151.3,6.82,90.0,6.3,2.87,805.3,16.5,8.1,69.9,0,2,0,62.0,5.31,5.85
AL-03945,216.5,3.19,38.7,7.4,2.73,822.8,11.7,0.9,65.6,0,2,0,61.4,8.29,9.85
AL-03946,203.2,7.32,82.4,5.9,8.12,880.4,12.2,14.4,72.1,0,2,0,65.5,6.89,7.28
AL-03947,204.2,1.64,91.0,7.0,0.4,838.3,72.1,7.8,71.9,0,2,0,72.1,8.39,8.91
AL-03948,263.0,11.38,66.4,6.1,1.77,629.7,44.4,7.8,94.2,0,0,0,99.7,10.3,14.26
AL-03949,268.7,2.65,72.4,5.6,0.83,477.7,30.6,7.4,83.4,0,3,0,76.5,10.09,11.8
AL-03950,161.7,13.64,64.0,9.1,1.99,683.0,34.1,13.6,64.7,0,2,0,65.1,5.55,6.7
AL-03951,203.6,7.32,23.7,5.0,5.42,824.7,8.9,5.0,68.9,0,2,0,60.2,5.27,5.91
AL-03952,253.6,2.65,92.2,5.4,2.8,174.2,4.6,7.2,84.7,0,3,0,95.0,9.74,11.63
AL-03953,245.3,12.05,46.3,9.5,7.6,490.8,66.0,6.6,92.4,0,0,0,94.3,7.97,10.74
AL-03954,273.4,18.77,85.4,9.0,6.23,447.8,82.2,13.9,83.0,1,0,0,85.6,15.82,18.35
AL-03955,262.7,2.43,49.7,9.8,0.44,203.2,93.9,11.2,88.5,0,3,0,91.1,10.49,13.32
AL-03956,144.6,2.41,90.2,6.9,7.53,875.6,90.5,1.1,59.9,0,2,0,55.6,7.07,9.2
AL-03957,249.9,8.29,99.1,7.6,6.57,822.8,6.8,11.2,69.8,0,2,0,76.4,9.11,10.06
AL-03958,107.4,9.19,48.3,4.5,3.2,764.2,5.3,1.7,72.7,0,2,0,73.1,6.76,7.07
AL-03959,239.7,1.23,19.1,5.2,4.89,675.3,16.1,10.1,66.3,0,2,0,69.3,9.28,10.88
AL-03960,195.9,14.98,17.0,4.8,6.44,282.3,91.8,6.3,83.6,0,3,0,75.4,6.77,7.93
AL-03961,294.7,13.73,23.4,9.7,2.56,176.1,34.2,1.3,93.9,0,0,0,92.7,10.26,14.14
AL-03962,112.5,5.4,23.7,7.4,0.35,434.9,91.6,11.2,77.0,0,1,0,79.6,8.33,8.66
AL-03963,142.6,5.1,69.1,4.3,1.61,708.0,97.4,7.1,74.3,0,2,0,68.2,6.8,6.89
AL-03964,292.5,3.05,36.2,7.1,2.17,104.3,62.1,10.7,88.7,0,3,0,97.4,11.97,15.26
AL-03965,268.4,1.12,75.4,9.8,9.75,461.3,26.0,7.0,84.6,0,3,0,81.0,12.44,14.83
AL-03966,182.8,2.09,54.3,8.2,3.01,666.5,24.5,5.1,41.2,1,2,0,43.7,11.13,18.65
AL-03967,243.2,14.32,16.0,9.2,7.93,775.2,53.0,6.8,89.6,0,0,0,96.8,9.72,12.56
AL-03968,120.0,6.31,19.4,8.8,4.3,646.6,22.1,0.6,81.7,0,1,0,79.0,7.7,8.73
AL-03969,138.5,2.18,95.0,6.2,7.92,254.1,72.1,2.1,80.8,0,3,0,75.2,9.61,10.72
AL-03970,188.9,12.28,45.9,4.2,6.89,709.4,11.5,9.1,64.0,0,2,0,67.9,4.53,5.52
AL-03971,232.4,16.7,59.3,6.9,7.42,229.1,7.4,3.6,95.7,0,0,0,99.2,9.64,13.64
AL-03972,256.4,15.04,87.7,7.6,6.34,968.8,81.9,8.7,98.3,0,0,0,98.7,8.81,12.92
AL-03973,194.7,2.08,62.2,8.9,8.56,774.1,52.4,2.5,24.9,1,2,0,26.9,13.7,27.45
AL-03974,220.9,16.9,41.4,7.7,9.04,185.0,93.3,13.9,66.0,1,0,1,68.6,12.84,15.15
AL-03975,197.4,5.16,32.0,7.7,7.53,885.8,28.6,14.9,66.6,0,2,0,67.6,6.84,8.0
AL-03976,126.3,19.76,62.8,7.9,1.92,144.4,71.6,4.8,79.0,0,1,0,74.7,9.27,10.02
AL-03977,290.9,8.54,84.0,8.5,7.18,363.8,43.0,0.4,53.1,1,3,1,55.0,16.93,24.33
AL-03978,251.8,1.6,62.3,6.8,7.66,59.5,9.6,10.6,89.8,0,3,0,89.3,9.57,12.41
AL-03979,185.3,14.12,99.1,5.5,7.29,442.5,81.8,7.2,83.7,0,3,0,80.0,4.86,5.7
AL-03980,159.9,13.65,79.5,5.4,4.37,935.8,13.8,9.3,65.1,0,2,0,68.6,5.37,6.44
AL-03981,256.6,17.57,97.3,6.1,3.78,756.0,80.3,9.1,87.8,0,0,0,80.9,9.54,11.99
AL-03982,227.7,8.35,67.6,8.1,0.52,561.8,34.5,1.0,58.0,0,2,0,55.8,6.5,8.72
AL-03983,270.6,15.49,68.0,5.0,9.4,138.9,37.7,9.5,95.7,0,0,0,97.3,9.45,13.37
AL-03984,274.3,12.89,68.1,7.3,6.04,320.1,47.8,13.1,80.9,1,0,0,79.4,14.32,16.0
AL-03985,163.9,14.65,37.9,8.0,3.99,492.9,43.3,11.4,84.7,0,3,0,91.7,4.96,5.93
AL-03986,241.2,18.92,83.2,9.0,0.84,360.9,18.4,3.9,91.3,0,0,0,87.5,9.2,12.19
AL-03987,191.5,2.67,27.1,7.3,0.86,249.7,92.9,7.5,83.6,0,3,0,84.1,8.3,9.72
AL-03988,136.1,5.83,98.7,6.9,9.13,458.7,6.5,4.8,81.0,0,3,0,79.4,6.29,7.04
AL-03989,158.5,12.92,90.3,6.4,3.71,459.4,77.8,7.5,79.7,0,3,0,79.1,5.71,6.25
AL-03990,289.5,2.18,97.9,6.1,1.23,161.8,29.4,9.2,83.3,0,3,0,77.6,13.44,15.67
AL-03991,121.7,1.43,97.4,7.0,4.48,260.5,32.2,3.7,82.3,0,3,0,79.2,9.93,11.39
AL-03992,226.2,14.84,13.4,6.4,3.34,346.0,28.4,3.0,95.5,0,0,0,97.5,7.27,10.24
AL-03993,160.5,11.99,48.1,5.6,3.58,257.1,40.4,11.3,85.6,0,3,0,86.1,4.9,5.94
AL-03994,292.5,11.05,86.1,7.5,3.76,57.9,35.3,14.8,70.4,1,0,0,67.6,15.17,16.57
AL-03995,258.3,2.16,90.4,8.8,1.85,106.9,83.0,8.2,88.2,0,3,0,86.4,10.76,13.61
AL-03996,119.3,6.59,40.5,8.4,9.64,671.6,90.8,3.2,80.1,0,1,0,83.5,6.83,7.52
AL-03997,200.6,11.2,65.5,6.9,2.45,814.8,86.4,7.2,90.3,0,0,0,90.3,6.95,9.08
AL-03998,167.0,2.21,23.7,4.7,1.47,564.9,1.5,1.5,76.7,0,2,0,72.6,6.74,6.96
AL-03999,247.9,3.69,71.9,9.8,8.04,909.4,35.7,7.3,66.8,0,2,0,67.0,8.76,10.2
AL-04000,209.1,15.43,91.7,4.9,10.0,634.5,54.7,11.9,68.1,1,0,0,72.2,11.63,13.23
AL-04001,171.1,18.09,31.8,5.6,0.64,437.7,59.3,12.1,80.1,0,3,0,72.9,7.46,8.22
AL-04002,191.4,8.89,36.1,5.2,9.99,846.3,68.2,8.8,64.7,0,2,0,67.5,5.14,6.19
AL-04003,113.9,1.91,43.4,8.3,4.1,230.7,99.0,4.0,79.1,0,1,0,76.0,9.54,10.33
AL-04004,111.9,13.85,86.8,5.9,8.44,483.2,66.8,0.4,66.9,0,3,0,70.1,8.53,9.92
AL-04005,163.2,8.87,88.8,6.5,4.92,107.7,46.2,9.1,79.0,0,3,0,80.5,3.95,4.26
AL-04006,100.8,13.03,28.9,6.2,7.81,39.3,14.5,5.7,82.3,0,3,0,81.6,8.51,9.76
AL-04007,153.6,11.94,95.4,8.6,9.77,228.3,54.4,11.0,82.7,0,3,0,77.5,6.21,7.17
AL-04008,146.9,15.43,14.2,7.1,5.92,354.4,14.1,11.1,79.4,0,1,0,86.9,6.06,6.6
AL-04009,131.3,19.5,74.3,9.2,8.35,737.2,31.0,1.4,80.1,0,1,0,78.2,9.06,9.99
AL-04010,239.4,2.1,27.8,6.9,7.14,536.2,60.6,7.5,64.5,0,2,0,63.7,8.88,10.74
AL-04011,262.4,11.64,95.5,4.0,1.54,678.7,23.0,3.6,97.5,0,0,0,99.7,8.68,12.58
AL-04012,256.1,14.79,62.6,8.7,2.1,423.3,11.2,5.3,90.7,0,0,0,94.9,11.14,14.63
AL-04013,171.3,13.66,83.8,4.2,8.27,103.4,87.6,14.4,83.7,0,3,0,84.0,6.16,7.24
AL-04014,236.7,9.14,19.5,5.4,7.98,469.8,35.5,2.8,80.7,0,3,0,88.9,7.64,8.51
AL-04015,196.8,5.64,79.7,7.1,2.04,500.1,71.5,6.7,62.7,0,2,0,59.4,6.98,8.7
AL-04016,151.4,9.35,74.3,9.5,5.34,890.5,25.1,5.4,64.1,0,2,0,58.4,4.61,5.62
AL-04017,152.3,18.63,26.0,6.5,9.1,699.0,89.6,9.1,56.6,0,2,0,50.6,6.85,9.37
AL-04018,134.0,7.32,63.1,9.4,8.93,146.5,2.8,5.7,72.8,0,1,0,74.9,5.92,6.18
AL-04019,280.3,1.65,16.3,9.8,2.65,352.4,99.3,4.5,89.6,0,3,0,89.9,14.06,18.17
AL-04020,253.5,18.68,54.5,6.6,3.14,960.8,36.4,0.7,92.0,0,0,0,92.8,9.94,13.32
AL-04021,254.4,19.6,96.9,9.0,0.62,665.1,94.8,8.2,86.6,0,0,0,78.7,10.8,13.3
AL-04022,152.3,11.08,38.4,5.8,1.94,98.1,20.7,1.3,76.7,0,3,0,73.3,5.14,5.32
AL-04023,232.3,3.76,76.9,9.4,7.04,198.9,62.7,7.0,90.1,0,3,0,92.0,10.42,13.56
AL-04024,154.6,17.28,55.1,5.1,1.97,592.0,33.5,10.1,63.5,0,2,0,69.5,6.43,7.9
AL-04025,191.8,11.41,99.7,8.1,0.74,194.6,85.4,13.9,85.0,0,3,0,81.6,5.22,6.26
AL-04026,179.9,11.29,85.4,7.8,9.71,339.4,68.5,12.4,87.0,0,3,0,86.1,3.84,4.76
AL-04027,148.7,2.9,91.0,6.5,4.58,69.9,4.6,6.6,52.4,1,3,0,50.4,11.49,16.69
AL-04028,127.2,5.66,13.7,4.3,9.88,731.0,42.2,11.9,62.1,0,2,0,62.4,8.52,10.71
AL-04029,134.2,9.84,81.8,8.7,9.46,465.6,4.9,4.0,78.0,0,1,0,81.2,5.18,5.49
AL-04030,130.6,11.71,27.4,4.6,2.06,729.9,92.0,0.8,57.6,0,2,0,52.3,5.98,8.07
AL-04031,233.8,18.07,49.2,8.6,3.95,274.6,24.0,10.1,91.7,0,0,0,91.1,10.19,13.6
AL-04032,215.8,11.68,90.4,9.7,2.13,267.0,30.8,14.1,91.4,0,0,0,97.9,7.93,10.54
AL-04033,299.9,13.29,52.2,7.9,6.81,453.2,59.8,10.2,93.1,0,0,0,95.4,10.64,14.48
AL-04034,178.9,3.26,42.3,9.6,3.94,69.3,11.4,10.2,86.0,0,3,0,81.7,7.28,8.89
AL-04035,261.3,11.91,63.3,7.3,4.28,197.3,77.5,9.0,95.2,0,0,0,96.6,10.95,15.37
AL-04036,258.2,16.11,80.6,4.7,8.89,413.6,64.7,4.1,98.7,0,0,0,94.8,11.56,17.05
AL-04037,164.6,13.23,56.0,7.8,2.82,610.5,55.9,13.5,67.8,0,2,0,74.5,5.0,5.73
AL-04038,164.0,16.68,11.2,5.5,6.02,429.4,21.2,3.1,79.1,0,3,0,80.5,5.95,6.44
AL-04039,221.9,12.61,67.1,5.3,7.02,25.3,39.7,14.0,91.8,0,0,0,91.9,6.68,8.92
AL-04040,160.0,18.65,94.0,8.2,4.09,609.1,90.3,2.5,59.5,0,2,1,60.4,6.38,8.36
AL-04041,282.1,8.2,67.3,6.6,3.38,876.3,73.5,15.0,60.9,0,2,0,67.4,9.6,12.31
AL-04042,263.8,16.53,84.4,8.3,0.13,638.3,39.7,5.7,88.3,0,0,0,84.6,13.08,16.55
AL-04043,262.9,16.67,47.7,5.2,2.88,42.2,95.1,1.7,92.5,0,0,0,83.2,10.68,14.42
AL-04044,138.0,19.16,68.3,9.7,2.18,589.4,96.3,7.2,80.8,0,1,0,77.7,7.83,8.74
AL-04045,122.2,15.66,90.7,7.2,4.48,190.6,54.5,12.0,77.9,0,1,0,82.5,7.38,7.8
AL-04046,183.6,8.56,98.0,6.0,9.12,904.3,8.4,10.4,65.6,0,2,0,67.4,6.57,7.8
AL-04047,186.7,1.49,29.4,4.2,2.77,317.6,32.2,1.1,79.4,0,3,0,82.5,7.65,8.31
AL-04048,183.5,8.17,57.9,8.2,7.98,616.5,75.4,5.7,64.3,0,2,0,65.9,4.94,5.99
AL-04049,155.0,9.28,14.4,8.4,4.39,613.6,67.2,8.3,65.4,0,2,0,69.5,8.65,10.3
AL-04050,276.9,19.58,24.7,9.2,1.18,96.5,24.8,0.0,89.6,0,0,0,88.2,12.21,15.77
AL-04051,272.5,16.06,77.8,6.5,0.33,636.6,81.1,2.9,92.7,0,0,0,90.0,10.32,13.97
AL-04052,133.3,12.81,20.1,8.8,5.12,937.6,32.3,5.3,83.2,0,1,0,81.8,6.05,7.04
AL-04053,291.6,16.81,50.9,7.9,1.85,467.4,16.8,3.5,92.4,0,0,0,91.0,11.11,14.97
AL-04054,179.2,17.4,72.0,7.4,9.12,497.8,28.8,6.7,91.4,0,3,0,82.8,5.78,7.67
AL-04055,195.2,8.45,59.2,6.0,7.41,668.3,38.2,6.2,70.9,0,2,0,74.0,5.0,5.41
AL-04056,247.5,15.64,35.8,7.5,6.9,289.7,42.8,8.0,97.5,0,0,0,91.4,8.9,12.92
AL-04057,140.1,9.62,38.0,8.2,5.96,234.9,84.9,8.2,75.3,0,1,0,85.7,6.04,6.07
AL-04058,154.5,2.65,48.5,5.3,4.21,951.6,22.0,6.5,72.0,0,2,0,74.0,7.63,8.08
AL-04059,259.2,7.66,58.0,8.2,4.56,112.6,55.2,5.2,82.2,0,3,0,85.1,9.55,10.93
AL-04060,219.8,19.28,66.1,8.6,5.01,668.2,76.1,7.9,90.4,0,0,0,85.2,8.92,11.67
AL-04061,127.2,3.08,89.9,6.5,7.01,90.7,93.2,13.7,88.3,0,3,0,80.4,8.13,10.29
AL-04062,187.8,11.4,33.8,5.7,7.97,370.4,73.9,12.9,87.0,0,3,0,88.3,4.96,6.16
AL-04063,246.1,7.27,20.4,6.4,6.87,591.4,82.7,11.3,56.9,0,2,0,51.7,7.7,10.49
AL-04064,142.8,4.7,78.3,4.2,6.13,441.9,24.8,10.0,81.9,0,3,0,85.1,6.2,7.06
AL-04065,218.8,2.69,89.0,5.8,2.02,845.0,1.0,4.5,60.8,0,2,0,63.1,10.43,13.39
AL-04066,241.7,2.56,11.5,5.9,5.91,333.6,24.9,2.9,81.4,0,3,0,87.3,10.02,11.3
AL-04067,171.1,11.05,90.0,4.5,4.97,112.7,86.7,13.4,90.1,0,3,0,87.1,3.9,5.08
AL-04068,131.9,4.2,48.6,6.7,2.65,271.9,41.1,0.9,79.5,0,3,0,75.6,7.0,7.63
AL-04069,103.7,8.95,16.8,9.4,6.03,707.5,60.4,6.1,68.0,0,1,0,67.8,9.47,10.81
AL-04070,210.1,3.7,59.1,8.0,6.89,411.3,90.4,14.4,87.4,0,3,0,87.5,7.86,9.81
AL-04071,238.7,17.38,81.0,8.6,4.39,993.1,21.9,11.9,92.7,0,0,0,96.0,9.48,12.84
AL-04072,267.6,18.38,46.9,6.3,5.83,259.1,97.9,9.4,97.5,0,0,0,100.7,11.04,16.01
AL-04073,241.9,16.95,67.7,9.8,7.49,571.5,0.2,3.5,89.8,0,0,0,89.3,8.44,10.95
AL-04074,170.1,5.76,12.9,5.4,6.58,746.2,3.2,6.1,66.7,0,2,0,69.5,4.52,5.27
AL-04075,183.5,19.59,26.3,4.2,8.24,774.8,33.3,9.7,58.6,0,2,0,59.5,7.2,9.56
AL-04076,188.1,2.33,74.0,7.2,4.04,994.7,93.8,5.4,63.9,0,2,0,61.7,6.55,8.0
AL-04077,266.8,15.84,32.5,5.0,4.01,805.4,45.8,3.2,95.3,0,0,0,93.4,9.34,13.14
AL-04078,279.4,11.19,17.5,9.4,4.43,849.6,26.3,14.3,95.8,0,0,0,97.1,9.2,13.01
AL-04079,120.7,2.04,37.0,10.0,6.39,266.7,25.5,0.4,79.0,0,1,0,71.5,8.56,9.24
AL-04080,152.9,11.96,33.3,9.1,2.57,268.9,76.0,6.3,88.2,0,3,0,94.1,8.74,11.04
AL-04081,219.9,1.76,52.1,7.2,5.03,247.0,46.6,5.4,82.7,0,3,0,93.1,9.33,10.76
AL-04082,103.4,14.27,62.2,4.5,1.38,780.6,51.8,12.9,69.7,0,2,0,66.9,8.39,9.27
AL-04083,161.7,3.09,55.9,5.5,0.93,919.8,90.8,2.2,63.3,0,2,0,70.8,5.82,7.19
AL-04084,260.0,10.32,23.3,8.3,4.45,661.6,35.1,12.4,98.7,0,0,0,102.7,8.59,12.66
AL-04085,160.8,1.43,22.7,7.0,9.47,101.0,79.0,9.5,81.8,0,3,0,86.4,6.35,7.2
AL-04086,266.6,3.98,58.0,5.2,8.42,72.8,28.6,5.5,79.8,0,3,0,79.9,11.74,12.86
AL-04087,282.8,19.88,28.1,7.4,5.7,542.3,52.5,11.4,67.3,1,0,0,59.2,17.68,20.4
AL-04088,143.5,10.22,64.1,8.0,3.96,55.4,35.1,14.5,82.1,0,1,0,84.8,4.72,5.39
AL-04089,144.1,6.68,40.2,9.8,0.62,418.9,27.5,0.4,81.6,0,1,0,72.2,6.06,6.86
AL-04090,238.1,4.28,53.6,7.8,0.73,568.3,14.7,13.8,67.5,0,2,0,71.2,8.52,9.79
AL-04091,268.2,2.12,12.2,8.8,1.3,365.5,86.3,6.9,87.1,0,3,0,94.4,13.81,17.15
AL-04092,176.7,10.4,57.5,6.7,9.97,708.0,48.2,8.1,61.9,0,2,0,58.4,4.35,5.5
AL-04093,173.7,4.65,74.4,5.3,5.11,405.0,41.0,9.9,85.1,0,3,0,84.0,5.43,6.53
AL-04094,294.5,16.52,48.6,6.6,2.09,999.0,38.5,7.4,96.5,0,0,0,97.3,10.95,15.66
AL-04095,103.6,5.25,46.5,6.3,4.49,161.4,64.7,6.3,82.0,0,3,0,94.7,8.92,10.17
AL-04096,159.5,4.84,20.5,9.4,5.1,745.7,78.7,5.0,73.4,0,2,0,79.0,8.41,8.67
AL-04097,141.7,1.7,10.2,5.3,6.18,258.4,47.2,0.6,81.6,0,3,0,79.8,8.65,9.8
AL-04098,164.9,1.99,11.8,9.8,6.17,9.9,57.4,3.5,80.0,0,3,0,72.8,6.06,6.67
AL-04099,106.0,2.57,58.2,4.6,1.33,940.8,50.3,1.5,59.1,0,2,0,62.2,8.75,11.53
AL-04100,115.4,7.61,44.8,4.4,7.53,949.6,69.7,1.6,75.9,0,2,0,73.6,7.88,8.03
AL-04101,214.0,11.02,97.6,6.1,5.09,935.5,33.6,1.4,88.2,0,0,0,90.3,6.53,8.25
AL-04102,258.8,2.25,46.5,6.6,6.01,538.4,46.0,9.8,65.9,0,2,0,66.3,12.52,14.82
AL-04103,172.7,17.55,79.3,4.4,2.13,711.0,32.4,8.8,72.9,0,2,0,80.0,7.44,7.76
AL-04104,293.1,2.49,25.8,8.6,5.78,486.2,96.2,6.0,83.3,0,3,0,72.4,11.24,13.11
AL-04105,262.9,4.41,97.3,8.6,0.56,925.5,73.3,12.7,65.9,0,2,0,71.3,9.54,11.28
AL-04106,280.3,14.56,39.4,6.6,9.6,322.3,92.7,11.6,73.2,1,0,0,74.8,16.22,16.79
AL-04107,255.4,12.2,43.8,9.6,0.74,163.9,20.2,7.6,95.1,0,0,0,91.7,8.68,12.17
AL-04108,170.7,1.26,19.0,4.3,0.54,987.8,69.5,13.7,72.9,0,2,1,71.9,6.6,6.88
AL-04109,187.2,15.0,28.7,8.2,1.4,103.2,81.4,13.2,86.5,0,3,0,86.7,6.54,8.05
AL-04110,140.8,3.93,68.5,8.5,5.83,219.7,90.4,8.9,82.6,0,1,0,73.7,6.63,7.64
AL-04111,143.7,9.71,80.4,5.8,7.53,451.4,80.0,11.2,82.8,0,3,0,77.1,9.15,10.58
AL-04112,157.1,16.11,27.4,6.9,3.38,734.1,83.7,13.2,63.1,0,2,0,63.2,5.84,7.22
AL-04113,139.8,15.2,53.5,8.8,5.54,582.8,91.1,8.9,82.7,0,1,0,81.8,7.49,8.65
AL-04114,282.7,10.56,26.7,7.6,3.31,2.0,9.2,1.9,96.3,0,0,0,101.3,8.57,12.22
AL-04115,296.1,12.73,40.8,9.8,8.24,188.5,95.7,12.8,92.7,0,0,0,92.5,12.0,16.24
AL-04116,237.2,8.18,74.9,8.8,9.45,119.3,84.2,2.5,86.0,0,3,0,84.0,9.06,11.04
AL-04117,238.4,5.39,49.6,9.0,4.83,501.8,62.7,0.6,65.8,0,2,0,68.2,8.97,10.63
AL-04118,235.9,2.22,45.3,9.8,4.16,794.4,8.3,12.3,69.1,0,2,0,78.9,11.96,13.36
AL-04119,264.4,6.96,27.1,9.0,2.28,123.6,97.0,12.5,90.0,0,3,0,88.1,10.35,13.45
AL-04120,225.3,4.32,19.2,7.5,4.25,365.8,61.4,5.8,86.9,0,3,0,92.7,7.93,9.82
AL-04121,253.2,5.55,69.3,5.5,5.93,555.2,4.4,11.9,66.0,0,2,0,61.3,12.59,14.85
AL-04122,237.3,17.32,96.5,9.8,5.48,828.6,95.9,3.6,91.8,0,0,0,90.8,9.07,12.12
AL-04123,257.6,15.13,71.6,6.9,3.88,125.3,80.5,0.1,96.5,0,0,0,96.6,9.75,13.95
AL-04124,283.9,16.46,79.4,5.0,6.55,469.6,40.0,14.6,89.4,0,0,0,88.5,10.8,13.91
AL-04125,181.1,17.94,36.3,9.3,2.18,392.2,34.1,6.0,77.0,0,3,0,74.9,5.71,5.94
AL-04126,288.7,9.24,62.4,8.7,8.08,686.7,37.2,13.8,66.4,0,2,0,63.5,10.6,12.43
AL-04127,256.7,17.47,70.4,7.8,3.0,17.8,15.0,11.2,95.4,0,0,0,82.7,9.67,13.61
AL-04128,132.9,4.57,60.4,7.3,2.21,959.2,77.8,4.7,73.8,0,1,0,76.3,6.82,6.98
AL-04129,123.9,11.59,63.8,5.2,7.79,626.9,41.1,11.7,72.0,0,2,0,71.6,6.13,6.51
AL-04130,118.6,3.21,55.9,9.5,4.71,910.7,82.0,9.6,79.7,0,1,0,81.1,8.58,9.38
AL-04131,159.3,5.3,17.9,4.5,1.08,889.0,54.5,3.7,65.6,0,2,0,61.1,5.52,6.57
AL-04132,124.8,12.25,73.9,4.0,0.45,736.7,24.7,7.1,55.5,0,2,0,49.9,8.12,11.29
AL-04133,224.2,1.51,24.8,4.3,6.6,878.5,44.9,1.8,70.6,0,2,0,72.3,9.97,10.84
AL-04134,212.2,4.27,63.4,4.3,5.62,296.6,42.3,3.2,80.1,0,3,0,76.9,7.7,8.5
AL-04135,277.9,1.49,62.8,8.9,9.89,325.1,81.9,11.0,91.6,0,3,0,99.1,10.84,14.45
AL-04136,125.7,8.41,28.9,5.3,7.4,235.0,33.7,1.9,78.5,0,3,0,78.7,7.86,8.41
AL-04137,260.6,12.24,86.0,7.1,3.1,219.1,9.4,8.4,98.0,0,0,0,104.4,9.24,13.48
AL-04138,163.3,10.47,75.8,6.2,1.51,755.0,23.3,7.2,70.0,0,2,0,72.7,5.51,6.06
AL-04139,203.1,8.91,27.6,9.8,0.24,142.4,31.8,2.5,84.4,0,3,0,97.3,7.3,8.68
AL-04140,157.7,7.55,13.2,8.2,4.82,374.4,57.8,8.5,82.2,0,3,0,70.5,5.62,6.42
AL-04141,210.2,9.74,40.1,6.6,7.0,954.0,23.6,7.6,61.4,0,2,0,69.6,6.34,8.06
AL-04142,226.4,7.06,42.3,8.9,0.87,291.3,83.6,13.3,89.3,0,3,0,91.3,7.33,9.42
AL-04143,212.9,18.95,77.1,5.0,5.95,363.4,4.4,6.5,92.9,0,0,0,85.6,7.86,10.67
AL-04144,104.5,15.72,25.8,8.4,1.29,466.4,44.7,5.2,79.4,0,1,0,83.3,8.54,9.3
AL-04145,187.9,14.16,29.0,7.4,3.86,981.7,5.3,13.8,61.5,0,2,0,59.8,6.4,8.14
AL-04146,297.3,1.09,88.1,6.1,4.22,913.4,71.8,11.8,63.2,0,2,0,63.0,13.04,16.1
AL-04147,212.6,19.84,88.3,6.9,4.03,348.4,7.4,12.2,92.8,0,0,0,97.8,11.07,15.01
AL-04148,196.8,10.38,78.0,7.1,7.78,7.6,18.4,6.4,77.5,0,3,0,77.4,4.9,5.15
AL-04149,222.4,10.29,65.5,4.5,5.13,998.4,84.5,5.1,94.9,0,0,0,93.8,6.13,8.57
AL-04150,279.8,17.95,62.9,5.3,1.71,135.8,73.1,9.1,91.4,0,0,0,102.5,10.9,14.47
AL-04151,206.2,16.91,24.8,7.6,2.29,302.2,34.6,6.8,94.5,0,0,0,90.6,7.73,10.76
